"year4","county","expenditure","total_expenditures","inflation_adjusted_exp","gdp","ia_gdp","pct_gdp","year"
"1972","Alameda","Corrections + Police",47736000,286766596.937799,133142600000,799833465507.177,0.0358532881286681,1972
"1977","Alameda","Corrections + Police",87985000,364581673.184818,229592000000,951355748250.825,0.0383223283041221,1977
"1982","Alameda","Corrections + Police",135137000,351646079.367876,393787700000,1024692725221.76,0.0343172221986619,1982
"1987","Alameda","Corrections + Police",221743000,490151580.114437,615359500000,1360220756747.36,0.0360347081665271,1987
"1992","Alameda","Corrections + Police",332382000,594892707.583749,807358400000,1444998900561.65,0.0411690768313056,1992
"1997","Alameda","Corrections + Police",405095000,633783116.292835,1070523600000,1674865854362.62,0.0378408285440881,1997
"2002","Alameda","Corrections + Police",588435000,821346011.923291,1436430900000,2004990850507.5,0.0409650753127073,2002
"1972","Alameda","Education",282817000,1698979148.7799,133142600000,799833465507.177,0.212416611963414,1972
"1977","Alameda","Education",384466000,1593104024.12541,229592000000,951355748250.825,0.16745618314227,1977
"1982","Alameda","Education",490765000,1277041729.06736,393787700000,1024692725221.76,0.124626797637407,1982
"1987","Alameda","Education",678076000,1498852377.92254,615359500000,1360220756747.36,0.110191847204764,1987
"1992","Alameda","Education",933937000,1671547528.57448,807358400000,1444998900561.65,0.115678117673638,1992
"1997","Alameda","Education",1070946000,1675526711.66355,1070523600000,1674865854362.62,0.100039457327237,1997
"2002","Alameda","Education",1710921000,2388128068.63257,1436430900000,2004990850507.5,0.119109175387413,2002
"1972","Alameda","Fire",22296000,133939752.91866,133142600000,799833465507.177,0.0167459550887545,1972
"1977","Alameda","Fire",38191000,158251277.838284,229592000000,951355748250.825,0.0166342903933935,1977
"1982","Alameda","Fire",57446000,149482826.134715,393787700000,1024692725221.76,0.0145880635682628,1982
"1987","Alameda","Fire",84763000,187364283.81162,615359500000,1360220756747.36,0.0137745496738086,1987
"1992","Alameda","Fire",127191000,227644693.064861,807358400000,1444998900561.65,0.0157539699840864,1992
"1997","Alameda","Fire",178109000,278656801.638629,1070523600000,1674865854362.62,0.0166375594148508,1997
"2002","Alameda","Fire",249741000,348592069.410784,1436430900000,2004990850507.5,0.0173862174644113,2002
