"year4","expenditures","state_abbr","inflation_adjusted_exp","ia_gdp","pct_gdp","year"
"1972","Education","CA",28824987036.7703,799833465507.177,3.60387359117217,1972
"1977","Education","CA",31334333127.1617,951355748250.825,3.29365047562633,1977
"1982","Education","CA",28877841041.886,1024692725221.76,2.81819518486738,1982
"1987","Education","CA",36948354805.625,1360220756747.36,2.71634987352921,1987
"1992","Education","CA",43925784183.407,1444998900561.65,3.03984896918147,1992
"1997","Education","CA",45490470587.109,1674865854362.62,2.71606651175182,1997
"2002","Education","CA",64222301393.7243,2004990850507.5,3.20312191836029,2002
"2007","Education","CA",70215221314.1486,2369170924225.76,2.96370433201626,2007
"2012","Education","CA",65529066199.1428,2345437091174.42,2.79389570693328,2012
"1972","Fire","CA",2151464351.02871,799833465507.177,0.268989038820032,1972
"1977","Fire","CA",2603329032.26073,951355748250.825,0.273644116519739,1977
"1982","Fire","CA",2676758985.67876,1024692725221.76,0.261225528374807,1982
"1987","Fire","CA",3534751010.2993,1360220756747.36,0.259865980780341,1987
"1992","Fire","CA",4205283380.66286,1444998900561.65,0.291023292753256,1992
"1997","Fire","CA",4659682299.66355,1674865854362.62,0.278212269211066,1997
"2002","Fire","CA",5505511902.20678,2004990850507.5,0.274590375353245,2002
"2007","Fire","CA",7324303027.33237,2369170924225.76,0.309150469155193,2007
"2012","Fire","CA",7140789280.3514,2345437091174.42,0.304454521812641,2012
"1972","Parks","CA",1612515439.42584,799833465507.177,0.201606397952271,1972
"1977","Parks","CA",1896516695.09901,951355748250.825,0.199348844907488,1977
"1982","Parks","CA",1937549418.43523,1024692725221.76,0.18908589577582,1982
"1987","Parks","CA",2633104465.28169,1360220756747.36,0.193579200451118,1987
"1992","Parks","CA",3154016676.52887,1444998900561.65,0.218271216351994,1992
"1997","Parks","CA",3119686093.22741,1674865854362.62,0.186264833395546,1997
"2002","Parks","CA",3978997693.42968,2004990850507.5,0.198454655911398,2002
"2007","Parks","CA",4727628918.84226,2369170924225.76,0.199547819471372,2007
"2012","Parks","CA",4454956927.98157,2345437091174.42,0.189941437557417,2012
"1972","Hospitals","CA",9232966629.41019,1730164885206.43,0.53364663150637,1972
"1977","Hospitals","CA",9507867950.26316,1952365781473.68,0.486992142583365,1977
"1982","Hospitals","CA",11787466391.2216,2063477348150.27,0.571242829575428,1982
"1987","Hospitals","CA",12086241695.1653,2292613813731.74,0.527181753105299,1987
"1992","Hospitals","CA",13000257348.8427,2058560063065.75,0.63152188668626,1992
"1997","Hospitals","CA",11089414347.0844,2211808536168.8,0.501373159825715,1997
"2002","Hospitals","CA",11308097206.4181,2437843530274.16,0.463856562818302,2002
"2007","Hospitals","CA",14359690988.1984,2700487942572.94,0.531744310419581,2007
"2012","Hospitals","CA",15129149296.9749,2505164446479.6,0.603918410156077,2012
"1972","Transit","CA",918510958.995215,799833465507.177,0.114837775437764,1972
"1977","Transit","CA",2097899536.68317,951355748250.825,0.220516829854699,1977
"1982","Transit","CA",2841984789.53368,1024692725221.76,0.277349952779124,1982
"1987","Transit","CA",3507520489.76232,1360220756747.36,0.257864061577013,1987
"1992","Transit","CA",4526127609.08767,1444998900561.65,0.313227062479315,1992
"1997","Transit","CA",5643006359.95639,1674865854362.62,0.336922885212432,1997
"2002","Transit","CA",7026286522.41245,2004990850507.5,0.35043982971962,2002
"2007","Transit","CA",8272649252.67728,2369170924225.76,0.349179080668515,2007
"2012","Transit","CA",8237476359.35608,2345437091174.42,0.351212846012909,2012
"1972","Housing","CA",402299846.31579,799833465507.177,0.0502979512192191,1972
"1977","Housing","CA",739224201.089109,951355748250.825,0.0777021847451131,1977
"1982","Housing","CA",1348439385.70984,1024692725221.76,0.131594511458839,1982
"1987","Housing","CA",2243174640.27289,1360220756747.36,0.164912542993161,1987
"1992","Housing","CA",4123348759.47256,1444998900561.65,0.2853530724397,1992
"1997","Housing","CA",4740077217.43302,1674865854362.62,0.283012350218155,1997
"2002","Housing","CA",4804623272.1234,2004990850507.5,0.239633176924835,2002
"2007","Housing","CA",6380179469.62856,2369170924225.76,0.269300091622287,2007
"2012","Housing","CA",6689902629.97726,2345437091174.42,0.28523052931799,2012
"1972","Libraries","CA",653599081.339713,799833465507.177,0.0817168960197563,1972
"1977","Libraries","CA",706190785.181518,951355748250.825,0.0742299383253772,1977
"1982","Libraries","CA",639336637.015544,1024692725221.76,0.0623930102438446,1982
"1987","Libraries","CA",879639315.334507,1360220756747.36,0.0646688642980242,1987
"1992","Libraries","CA",1015576578.06842,1444998900561.65,0.0702821696039826,1992
"1997","Libraries","CA",967628699.395639,1674865854362.62,0.0577735044794902,1997
"2002","Libraries","CA",1217571641.5453,2004990850507.5,0.060727042282368,2002
"2007","Libraries","CA",1428463293.87361,2369170924225.76,0.0602938048608895,2007
"2012","Libraries","CA",1305769743.14224,2345437091174.42,0.0556727676924564,2012
"1972","Natural Resources","CA",1064783790.16746,799833465507.177,0.133125686294244,1972
